Name,Location,Level,Gender,Type,Start Date,End Date,Notes
The Wedel 33rd Annual,"Battle Creek, MI",Open,Any,Doubles,2025-06-02,2025-06-03,
Caro June Draw Doubles,"Caro, MI",Open,Any,Draw Doubles,2025-06-11,2025-06-12,
Pennifeld Shell,"Battle Creek, MI",Open,Any,Draw Doubles,2025-06-16,2025-06-17,
Holland June Draw Doubles,"Holland, MI",Open,Any,Draw Doubles,2025-06-23,2025-06-24,
Battle Creek July Draw Doubles,"Battle Creek, MI",Open,Any,Draw Doubles,2025-07-07,2025-07-08,
Belding July Draw Doubles,"Belding, MI",Open,Any,Draw Doubles,2025-07-14,2025-07-15,
Caro July Draw Doubles,"Caro, MI",Open,Any,Draw Doubles,2025-07-23,2025-07-24,
Michigan State Tournament,"Battle Creek, MI",Amateur,Any,Singles,2025-08-04,2025-08-05,
Michigan State Tournament,"Battle Creek, MI",Open,Mixed,Doubles,2025-08-05,2025-08-06,
Michigan State Tournament,"Battle Creek, MI",Open,M/L,Singles,2025-08-06,2025-08-07,Annual Meeting Held at 9
Michigan State Tournament,"Battle Creek, MI",Open,M/L,Doubles,2025-08-07,2025-08-08,
Albion August Draw Doubles,"Albion, MI",Open,Any,Draw Doubles,2025-08-14,2025-08-15,
Michigan Shuffleboard Memorial,"Battle Creek, MI",Open,Any,Draw Doubles,2025-08-18,2025-08-19,
Caro Memorial,"Caro, MI",Open,Any,Doubles,2025-08-25,2025-08-26,
