Name,Location,Level,Gender,Type,Start Date,End Date,Notes
National N01,"Bradenton, FL",Open,M/L,Singles,10/28/2024,10/30/2024,
National N02,"Mesa / Apache Junction, AZ",Open,,Team,11/4/2024,11/7/2024,
National NA01,"Avon Park, FL",Amateur,Mixed,Doubles,12/2/2024,12/3/2024,
National NA02,"Lakeland, FL",Amateur,M/L,Non-Walking Singles,12/30/2024,12/31/2024,
National N03,"Weslaco, TX",Open,Mixed,Doubles,1/2/2025,1/4/2025,
National NA03,"Weslaco, TX",Amateur,Mixed,Doubles,1/2/2025,1/4/2025,
National N04,"San Benito, TX",Open,M/L,Non-Walking Singles,1/7/2025,1/9/2025,
National N05,"Weslaco, TX",Open,M/L,Doubles,1/14/2025,1/16/2025,New Tournament!
National N06,"St. Petersburg, FL",Open,Mixed,Doubles,1/18/2025,1/19/2025,Weekend
National N07,"Trailer Estates, FL",Open,M/L,Doubles,1/20/2025,1/22/2025,
National NA04,"Zephyrhills, FL",Amateur,M/L,Doubles,2/24/2025,2/26/2025,
National N08,"Hemet, CA",Open,Any,Singles,2/24/2025,2/27/2025,
National N09,"Clearwater, FL",Open,Any,Doubles,2/27/2025,2/28/2025,New Days - Thursday - Friday
National N10,"Mesa Spirit, AZ",Open,M/L,Singles,3/3/2025,3/6/2025,
National N11,"Hemet, CA",Open,Any,Doubles,4/7/2025,4/10/2025,
National N12,"Lakeland, FL",Open,M/L,Doubles,4/28/2025,4/29/2025,
National N13,"Brooklyn, NY",Open,Any,Doubles,6/14/2025,6/15/2025,Weekend
National N14,"Lakeside, OH",Open,Mixed,Doubles,7/11/2025,7/12/2025,New Days - Friday - Saturday
National N15,"Lakeside, OH",Open,M/L,Singles,7/14/2025,7/16/2025,
National NJ01,"Lakeside, OH",Junior,,Singles,7/16/2025,7/16/2025,
National N16,"Lakeside, OH",Open,M/L,Doubles,7/17/2025,7/18/2025,
National N17,"Chicago, IL",Open,Any,Doubles,8/9/2025,8/10/2025,Weekend
National N18,"Hendersonville, NC",Open,M/L,Doubles,9/5/2025,9/7/2025,New Days - Friday - Sunday
National N19,"Hendersonville, NC",Open,M/L,Singles,9/8/2025,9/10/2025,
National N20,"Hendersonville, NC",Open,Mixed,Doubles,9/11/2025,9/13/2025,
International Shuffleboard Association,"Hohenroda, Germany",Invitational,M/L,Singles,9/28/2025,10/4/20205,
